step,epoch,loss,val_acc,test_acc
50,1,0.7433269023895264,0.4657039711191336,0.0
100,1,0.6942735910415649,0.5379061371841155,0.0
150,1,0.661501407623291,0.5812274368231047,0.0
200,2,0.6742323637008667,0.5884476534296029,0.0
250,2,0.573755145072937,0.5992779783393501,0.0
300,2,0.6269672513008118,0.6245487364620939,0.0
350,3,0.5392847061157227,0.6137184115523465,0.0
400,3,0.44948965311050415,0.6425992779783394,0.0
450,3,0.7621603012084961,0.6173285198555957,0.0
500,4,0.4036528468132019,0.6028880866425993,0.0
550,4,0.4898400902748108,0.6064981949458483,0.0
600,4,0.21559172868728638,0.6570397111913358,0.0
650,5,0.1970495879650116,0.6570397111913358,0.0
700,5,0.1559688299894333,0.6389891696750902,0.0
750,5,0.05883799493312836,0.6425992779783394,0.0
800,6,0.3313380479812622,0.6462093862815884,0.0
850,6,0.400377482175827,0.6209386281588448,0.0
900,6,0.2913917303085327,0.6678700361010831,0.0
950,7,0.214613676071167,0.6209386281588448,0.0
1000,7,0.010005028918385506,0.6570397111913358,0.0
1050,7,0.013601799495518208,0.6353790613718412,0.0
1100,8,0.06642816960811615,0.6389891696750902,0.0
1150,8,0.024247681722044945,0.6425992779783394,0.0
1200,8,0.006838604807853699,0.6425992779783394,0.0
1250,9,0.07640451192855835,0.6425992779783394,0.0
1300,9,0.009229490533471107,0.6570397111913358,0.0
1350,9,0.004319202154874802,0.6353790613718412,0.0
1400,9,0.0037735463120043278,0.6534296028880866,0.0
1450,10,0.10877546668052673,0.631768953068592,0.0
1500,10,0.008618070743978024,0.6606498194945848,0.0
1550,10,0.005081984214484692,0.6642599277978339,0.0
