step,epoch,loss,val_acc,test_acc
50,1,0.7052160501480103,0.5306859205776173,0.0
100,1,0.6981692314147949,0.49097472924187724,0.0
150,1,0.6923949718475342,0.4693140794223827,0.0
200,2,0.7798048257827759,0.516245487364621,0.0
250,2,0.6816991567611694,0.5090252707581228,0.0
300,2,0.6788506507873535,0.48375451263537905,0.0
350,3,0.7239418029785156,0.5631768953068592,0.0
400,3,0.6456988453865051,0.5451263537906137,0.0
450,3,0.6577043533325195,0.555956678700361,0.0
500,4,0.6547536253929138,0.5884476534296029,0.0
550,4,0.6149084568023682,0.5956678700361011,0.0
600,4,0.6480344533920288,0.6137184115523465,0.0
