step,epoch,loss,val_acc,test_acc
50,1,0.6933479309082031,0.48736462093862815,0.0
100,1,0.6773685216903687,0.5306859205776173,0.0
150,1,0.7094922065734863,0.4693140794223827,0.0
200,2,0.6523081064224243,0.5306859205776173,0.0
250,2,0.6849359273910522,0.5884476534296029,0.0
300,2,0.6725815534591675,0.592057761732852,0.0
350,3,0.6248387098312378,0.5956678700361011,0.0
400,3,0.6147578358650208,0.5992779783393501,0.0
450,3,0.6209062337875366,0.5992779783393501,0.0
500,4,0.5932987928390503,0.592057761732852,0.0
550,4,0.3956151008605957,0.6101083032490975,0.0
600,4,0.5430535078048706,0.6425992779783394,0.0
