step,epoch,loss,val_acc,test_acc
50,1,0.687677800655365,0.5451263537906137,0.0
100,1,0.6783196330070496,0.5487364620938628,0.0
150,1,0.6968604922294617,0.5740072202166066,0.0
200,2,0.7258332371711731,0.5595667870036101,0.0
250,2,0.5961308479309082,0.592057761732852,0.0
300,2,0.5513540506362915,0.6245487364620939,0.0
350,3,0.4637644588947296,0.6245487364620939,0.0
400,3,0.512168824672699,0.6389891696750902,0.0
450,3,0.38628995418548584,0.6389891696750902,0.0
500,4,0.5050911903381348,0.6245487364620939,0.0
550,4,0.5783931016921997,0.6064981949458483,0.0
600,4,0.23319101333618164,0.6028880866425993,0.0
