accum_steps,avg_conf_cancel_interval,conf_cancel,delta_val_probe_loss,elapsed_sec,epoch,eval_every_steps,event,global_step,lr,microbatch_size,seed,step_in_epoch,val_probe_loss,val_probe_size
8,,0.7236907482147217,,,1,,step,1,0.0002,4,2,0,,
,0.7236907482147217,,,,1,1,eval,1,0.0002,,2,,0.719106137752533,256
8,,0.836862325668335,,,1,,step,2,0.0002,4,2,1,,
,0.836862325668335,,9.906291961669922e-05,,1,1,eval,2,0.0002,,2,,0.7192052006721497,256
8,,0.7038331031799316,,,1,,step,3,0.0002,4,2,2,,
,0.7038331031799316,,-0.0006448626518249512,,1,1,eval,3,0.0002,,2,,0.7185603380203247,256
8,,0.3234316110610962,,,1,,step,4,0.0002,4,2,3,,
,0.3234316110610962,,-0.0017000138759613037,,1,1,eval,4,0.0002,,2,,0.7168603241443634,256
8,,0.4782482981681824,,,1,,step,5,0.0002,4,2,4,,
,0.4782482981681824,,-0.000913769006729126,,1,1,eval,5,0.0002,,2,,0.7159465551376343,256
8,,0.8171834945678711,,,1,,step,6,0.0002,4,2,5,,
,0.8171834945678711,,-0.0009608268737792969,,1,1,eval,6,0.0002,,2,,0.714985728263855,256
8,,0.9113391637802124,,,1,,step,7,0.0002,4,2,6,,
,0.9113391637802124,,-0.0008965134620666504,,1,1,eval,7,0.0002,,2,,0.7140892148017883,256
8,,0.9007651805877686,,,1,,step,8,0.0002,4,2,7,,
,0.9007651805877686,,-0.0008544325828552246,,1,1,eval,8,0.0002,,2,,0.7132347822189331,256
8,,0.673613429069519,,,1,,step,9,0.0002,4,2,8,,
,0.673613429069519,,-0.0010724067687988281,,1,1,eval,9,0.0002,,2,,0.7121623754501343,256
8,,0.8105020523071289,,,1,,step,10,0.0002,4,2,9,,
,0.8105020523071289,,-0.0008940696716308594,,1,1,eval,10,0.0002,,2,,0.7112683057785034,256
8,,0.7818429470062256,,,1,,step,11,0.0002,4,2,10,,
,0.7818429470062256,,-0.000675201416015625,,1,1,eval,11,0.0002,,2,,0.7105931043624878,256
8,,0.598392128944397,,,1,,step,12,0.0002,4,2,11,,
,0.598392128944397,,-0.0003853440284729004,,1,1,eval,12,0.0002,,2,,0.7102077603340149,256
8,,0.3085469603538513,,,1,,step,13,0.0002,4,2,12,,
,0.3085469603538513,,0.0004285573959350586,,1,1,eval,13,0.0002,,2,,0.71063631772995,256
8,,0.5613965392112732,,,1,,step,14,0.0002,4,2,13,,
,0.5613965392112732,,-0.00019231438636779785,,1,1,eval,14,0.0002,,2,,0.7104440033435822,256
8,,0.6966443061828613,,,1,,step,15,0.0002,4,2,14,,
,0.6966443061828613,,-0.0008247792720794678,,1,1,eval,15,0.0002,,2,,0.7096192240715027,256
8,,0.746876060962677,,,1,,step,16,0.0002,4,2,15,,
,0.746876060962677,,-0.0008920431137084961,,1,1,eval,16,0.0002,,2,,0.7087271809577942,256
8,,0.7480597496032715,,,1,,step,17,0.0002,4,2,16,,
,0.7480597496032715,,1.519918441772461e-06,,1,1,eval,17,0.0002,,2,,0.708728700876236,256
8,,0.2549363970756531,,,1,,step,18,0.0002,4,2,17,,
,0.2549363970756531,,-0.0011805593967437744,,1,1,eval,18,0.0002,,2,,0.7075481414794922,256
8,,0.8233147263526917,,,1,,step,19,0.0002,4,2,18,,
,0.8233147263526917,,-0.0009070932865142822,,1,1,eval,19,0.0002,,2,,0.7066410481929779,256
8,,0.669398307800293,,,1,,step,20,0.0002,4,2,19,,
,0.669398307800293,,-0.001220792531967163,,1,1,eval,20,0.0002,,2,,0.7054202556610107,256
8,,0.8704832792282104,,,1,,step,21,0.0002,4,2,20,,
,0.8704832792282104,,-0.001326143741607666,,1,1,eval,21,0.0002,,2,,0.7040941119194031,256
8,,0.354767382144928,,,1,,step,22,0.0002,4,2,21,,
,0.354767382144928,,-0.0008753538131713867,,1,1,eval,22,0.0002,,2,,0.7032187581062317,256
8,,0.7322635650634766,,,1,,step,23,0.0002,4,2,22,,
,0.7322635650634766,,-0.00042119622230529785,,1,1,eval,23,0.0002,,2,,0.7027975618839264,256
8,,0.3725162744522095,,,1,,step,24,0.0002,4,2,23,,
,0.3725162744522095,,-0.0012338459491729736,,1,1,eval,24,0.0002,,2,,0.7015637159347534,256
8,,0.8875044584274292,,,1,,step,25,0.0002,4,2,24,,
,0.8875044584274292,,-0.001202702522277832,,1,1,eval,25,0.0002,,2,,0.7003610134124756,256
8,,0.8733777403831482,,,1,,step,26,0.0002,4,2,25,,
,0.8733777403831482,,-0.0008658468723297119,,1,1,eval,26,0.0002,,2,,0.6994951665401459,256
8,,0.3579825758934021,,,1,,step,27,0.0002,4,2,26,,
,0.3579825758934021,,0.0001309514045715332,,1,1,eval,27,0.0002,,2,,0.6996261179447174,256
8,,0.3701295852661133,,,1,,step,28,0.0002,4,2,27,,
,0.3701295852661133,,-0.0008492171764373779,,1,1,eval,28,0.0002,,2,,0.69877690076828,256
8,,0.6855445504188538,,,1,,step,29,0.0002,4,2,28,,
,0.6855445504188538,,-0.0007860958576202393,,1,1,eval,29,0.0002,,2,,0.6979908049106598,256
8,,0.7297289371490479,,,1,,step,30,0.0002,4,2,29,,
