avg_conf_cancel_interval,conflict_hist_steps,delta_val_probe_acc,delta_val_probe_loss,epoch,eval_every_steps,event,global_step,lr,seed,val_probe_acc,val_probe_loss,val_probe_size
0.7588856220245361,1,,,1,1,eval,1,0.001,2,0.49458483948173937,0.7156808019114745,277
0.4730428457260132,1,-0.00722021682167745,-0.0034288032390580314,1,1,eval,2,0.001,2,0.4873646226600619,0.7122519986724165,277
0.7383971214294434,1,0.018050541516245466,-0.0019228165760797333,1,1,eval,3,0.001,2,0.5054151641763074,0.7103291820963368,277
0.9303076267242432,1,-0.03249097429888337,-0.001364662974319808,1,1,eval,4,0.001,2,0.472924189877424,0.708964519122017,277
0.8463340401649475,1,-0.00722021682167745,-0.001369482343377637,1,1,eval,5,0.001,2,0.46570397305574657,0.7075950367786393,277
0.6604979038238525,1,0.0036101083032490933,-0.0002946223162570982,1,1,eval,6,0.001,2,0.46931408135899566,0.7073004144623822,277
0.7375307083129883,1,0.025270758337922916,0.0021447349971811525,1,1,eval,7,0.001,2,0.4945848396969186,0.7094451494595634,277
0.7607083320617676,1,0.0036101083032490933,0.0007449459513172441,1,1,eval,8,0.001,2,0.49819494800016767,0.7101900954108806,277
0.725279688835144,1,-0.007220218650700827,-0.0031502429759029393,1,1,eval,9,0.001,2,0.49097472934946684,0.7070398524349777,277
0.8627505898475647,1,-0.0036101083032490933,-0.004703785538243022,1,1,eval,10,0.001,2,0.48736462104621775,0.7023360668967347,277
0.6509164571762085,1,0.010830325124926543,0.0017696621185605554,1,1,eval,11,0.001,2,0.4981949461711443,0.7041057290152952,277
0.4925556778907776,1,0.025270757907564445,-0.00624682068394411,1,1,eval,12,0.001,2,0.5234657040787087,0.6978589083313511,277
0.8968997001647949,1,-0.04693140794223827,-0.002249278101249641,1,1,eval,13,0.001,2,0.47653429613647047,0.6956096302301015,277
0.8186708688735962,1,0.05415162659293904,-0.0014277042464659884,1,1,eval,14,0.001,2,0.5306859227294095,0.6941819259836355,277
0.9058853387832642,1,-0.0072202166064981865,0.0008064706402995947,1,1,eval,15,0.001,2,0.5234657061229113,0.6949883966239351,277
0.6466445922851562,1,-1.8290233771978137e-09,-0.003309518851958404,1,1,eval,16,0.001,2,0.523465704293888,0.6916788777719767,277
0.8517200946807861,1,0.003610109917093318,0.001423927420743487,1,1,eval,17,0.001,2,0.5270758142109813,0.6931028051927202,277
0.3557173013687134,1,0.018050541301066203,-0.0014716926894893234,1,1,eval,18,0.001,2,0.5451263555120475,0.6916311125032308,277
0.8163557052612305,1,-0.010830324694568016,-0.0007883981677169194,1,1,eval,19,0.001,2,0.5342960308174795,0.6908427143355139,277
0.31732088327407837,1,-0.050541518074510794,0.009502698152934586,1,1,eval,20,0.001,2,0.48375451274296866,0.7003454124884485,277
0.7310486435890198,1,-0.010830324694568072,0.013614307026570405,1,1,eval,21,0.001,2,0.4729241880484006,0.7139597195150189,277
0.9220608472824097,1,0.0,0.015514019379116561,1,1,eval,22,0.001,2,0.4729241880484006,0.7294737388941355,277
0.48768746852874756,1,0.0036101083032490933,-0.016878492995719974,1,1,eval,23,0.001,2,0.4765342963516497,0.7125952458984155,277
0.4788898229598999,1,0.09747292418772568,-0.02400426701087821,1,1,eval,24,0.001,2,0.5740072205393754,0.6885909788875373,277
0.9013595581054688,1,-0.0469314063283941,0.0006085653597698304,1,1,eval,25,0.001,2,0.5270758142109813,0.6891995442473071,277
0.6053609848022461,1,-0.0036101083032491488,0.007158596377940807,1,1,eval,26,0.001,2,0.5234657059077321,0.6963581406252479,277
0.725558876991272,1,0.0,0.001153312865577405,1,1,eval,27,0.001,2,0.5234657059077321,0.6975114534908253,277
0.6663696765899658,1,0.0036101083032491488,-0.0049401452825388326,1,1,eval,28,0.001,2,0.5270758142109813,0.6925713082082865,277
0.5060361623764038,1,0.021660649604315352,-0.004140501633447813,1,1,eval,29,0.001,2,0.5487364638152966,0.6884308065748387,277
0.6925227642059326,1,-0.03610108260213252,0.0036178588436829306,1,1,eval,30,0.001,2,0.5126353812131641,0.6920486654185216,277
0.6406998038291931,1,-0.028880868470195442,0.004318202876011812,1,1,eval,31,0.001,2,0.48375451274296866,0.6963668682945334,277
0.2495855689048767,1,0.05415162476391566,-0.007461110392202097,1,1,eval,32,0.001,2,0.5379061375068843,0.6889057579023313,277
0.5758216381072998,1,-0.014440432997817165,-0.0015860348401948166,1,1,eval,33,0.001,2,0.5234657045090672,0.6873197230621365,277
