step,epoch,loss,val_acc,test_acc
50,1,0.673615038394928,0.5342960288808665,0.0
100,1,0.7003085613250732,0.48014440433212996,0.0
150,1,0.643258810043335,0.5379061371841155,0.0
200,2,0.676600992679596,0.4693140794223827,0.0
250,2,0.6978609561920166,0.5415162454873647,0.0
300,2,0.6741783618927002,0.592057761732852,0.0
350,3,0.6786651611328125,0.4620938628158845,0.0
400,3,0.6885839700698853,0.5595667870036101,0.0
450,3,0.6627947688102722,0.555956678700361,0.0
500,4,0.6508476734161377,0.5812274368231047,0.0
550,4,0.6449602246284485,0.5956678700361011,0.0
600,4,0.6730883121490479,0.5631768953068592,0.0
