step,epoch,loss,val_acc,test_acc
50,1,0.6715694665908813,0.5451263537906137,0.0
100,1,0.6975630521774292,0.5126353790613718,0.0
150,1,0.7015265226364136,0.4729241877256318,0.0
200,2,0.6420451402664185,0.5812274368231047,0.0
250,2,0.6880049109458923,0.5234657039711191,0.0
300,2,0.6837274432182312,0.516245487364621,0.0
350,3,0.7024850845336914,0.5451263537906137,0.0
400,3,0.694746732711792,0.48736462093862815,0.0
450,3,0.6913000345230103,0.5234657039711191,0.0
500,4,0.6879339814186096,0.5487364620938628,0.0
550,4,0.6830312609672546,0.5631768953068592,0.0
600,4,0.6965543031692505,0.5126353790613718,0.0
