step,epoch,loss,val_acc,test_acc
50,1,0.7186748385429382,0.48736462093862815,0.0
100,1,0.7526721954345703,0.4729241877256318,0.0
150,1,0.6615886688232422,0.4729241877256318,0.0
200,2,0.6710308790206909,0.5667870036101083,0.0
250,2,0.7348171472549438,0.5451263537906137,0.0
300,2,0.5782440900802612,0.5884476534296029,0.0
350,3,0.6666889786720276,0.5884476534296029,0.0
400,3,0.5560694932937622,0.6137184115523465,0.0
450,3,0.5758415460586548,0.6209386281588448,0.0
500,4,0.5981658697128296,0.6498194945848376,0.0
550,4,0.7750669717788696,0.631768953068592,0.0
600,4,0.28662604093551636,0.6534296028880866,0.0
