step,epoch,loss,val_acc,test_acc
50,1,0.6884802579879761,0.5342960288808665,0.0
100,1,0.6875275373458862,0.51985559566787,0.0
150,1,0.6797503232955933,0.5234657039711191,0.0
200,2,0.7611785531044006,0.555956678700361,0.0
250,2,0.650081217288971,0.5884476534296029,0.0
300,2,0.643439769744873,0.6101083032490975,0.0
350,3,0.6636932492256165,0.5992779783393501,0.0
400,3,0.7036582231521606,0.6173285198555957,0.0
450,3,0.6256940364837646,0.6028880866425993,0.0
500,4,0.5972388386726379,0.628158844765343,0.0
550,4,0.6634281873703003,0.5884476534296029,0.0
600,4,0.5332502126693726,0.631768953068592,0.0
