step,epoch,loss,val_acc,test_acc
50,1,0.6826937198638916,0.4729241877256318,0.0
100,1,0.6732516288757324,0.5631768953068592,0.0
150,1,0.6955286860466003,0.5703971119133574,0.0
200,2,0.7056885957717896,0.5740072202166066,0.0
250,2,0.6888669729232788,0.5595667870036101,0.0
300,2,0.6600100994110107,0.5848375451263538,0.0
350,3,0.6294218301773071,0.5884476534296029,0.0
400,3,0.7807435989379883,0.6028880866425993,0.0
450,3,0.5508112907409668,0.5956678700361011,0.0
500,4,0.5994362235069275,0.5848375451263538,0.0
550,4,0.5649465322494507,0.628158844765343,0.0
600,4,0.34007930755615234,0.5956678700361011,0.0
