step,epoch,loss,val_acc,test_acc
50,1,0.7253633737564087,0.5270758122743683,0.0
100,1,0.7038226127624512,0.5270758122743683,0.0
150,1,0.6959475874900818,0.4368231046931408,0.0
200,2,0.7153013944625854,0.5234657039711191,0.0
250,2,0.672516405582428,0.4765342960288808,0.0
300,2,0.6853877305984497,0.5270758122743683,0.0
350,3,0.7008779048919678,0.555956678700361,0.0
400,3,0.701748251914978,0.4729241877256318,0.0
450,3,0.6816542744636536,0.4765342960288808,0.0
500,4,0.6649277210235596,0.4765342960288808,0.0
550,4,0.6640688180923462,0.483754512635379,0.0
600,4,0.6948434710502625,0.5523465703971119,0.0
650,5,0.771795392036438,0.5631768953068592,0.0
700,5,0.6785907745361328,0.5595667870036101,0.0
750,5,0.6542678475379944,0.5956678700361011,0.0
800,6,0.654556930065155,0.555956678700361,0.0
850,6,0.6914288997650146,0.5451263537906137,0.0
900,6,0.7050471305847168,0.5523465703971119,0.0
950,7,0.5897914171218872,0.6173285198555957,0.0
1000,7,0.7356904745101929,0.6028880866425993,0.0
1050,7,0.6519547700881958,0.5884476534296029,0.0
1100,8,0.5859596729278564,0.555956678700361,0.0
1150,8,0.601963460445404,0.592057761732852,0.0
1200,8,0.6989117860794067,0.5956678700361011,0.0
1250,9,0.5812642574310303,0.6173285198555957,0.0
1300,9,0.5138868689537048,0.6425992779783394,0.0
1350,9,0.632269024848938,0.628158844765343,0.0
1400,9,0.6583478450775146,0.6245487364620939,0.0
1450,10,0.4771160781383514,0.6245487364620939,0.0
1500,10,0.6144134998321533,0.628158844765343,0.0
1550,10,0.6645104885101318,0.6209386281588448,0.0
1550,10,,0.5992779783393501,0.0
