step,epoch,loss,val_acc,test_acc
50,1,0.7285647988319397,0.4693140794223827,0.0
100,1,0.6926530003547668,0.5631768953068592,0.0
150,1,0.6631382703781128,0.5703971119133574,0.0
200,2,0.6705288887023926,0.6028880866425993,0.0
250,2,0.5415731072425842,0.592057761732852,0.0
300,2,0.4230477213859558,0.6534296028880866,0.0
350,3,0.5281301736831665,0.6570397111913358,0.0
400,3,0.3711071014404297,0.6389891696750902,0.0
450,3,0.4256279766559601,0.6101083032490975,0.0
500,4,0.7132493853569031,0.6064981949458483,0.0
550,4,0.15916651487350464,0.6642599277978339,0.0
600,4,0.26638686656951904,0.6606498194945848,0.0
650,5,0.3837479054927826,0.6425992779783394,0.0
700,5,0.22795894742012024,0.6462093862815884,0.0
750,5,0.21986369788646698,0.6534296028880866,0.0
800,6,0.1957666575908661,0.6606498194945848,0.0
850,6,0.37066298723220825,0.6678700361010831,0.0
900,6,0.03489924967288971,0.6570397111913358,0.0
950,7,0.07499799132347107,0.6750902527075813,0.0
1000,7,0.01178002543747425,0.6750902527075813,0.0
1050,7,0.18452906608581543,0.6642599277978339,0.0
1100,8,0.017602842301130295,0.6498194945848376,0.0
1150,8,0.005453973542898893,0.6534296028880866,0.0
1200,8,0.003433332545682788,0.6642599277978339,0.0
1250,9,0.026899024844169617,0.6534296028880866,0.0
1300,9,0.0352303646504879,0.6534296028880866,0.0
1350,9,0.0043926481157541275,0.6750902527075813,0.0
1400,9,0.20862573385238647,0.6606498194945848,0.0
1450,10,0.0931212455034256,0.6678700361010831,0.0
1500,10,0.011309005320072174,0.6714801444043321,0.0
1550,10,0.009892551228404045,0.6787003610108303,0.0
